ID,TITLE,AUTHOR,PRIORITY,CATEGORY,DATE
1,The War of the Worlds,H. G. Wells,1,Science Fiction,12/3/2021
2,Hamlet,William Shakespeare,2,Drama,12/3/2021
3,The Crucible,Arthur Miller,2,Drama,12/3/2021
4,Contact,Carl Sagan,1,Science Fiction,12/3/2021
5,The Cat in the Hat,Dr. Seuss,3,Kids,12/3/2021
6,Dune,Frank Herbert,2,Science Fiction,12/3/2021
7,Harry Potter and the Cursed Child,J. K. Rowling,2,Kids,12/3/2021
8,Winnie-the-Pooh,A. A. Milne,1,Kids,12/3/2021
9,Matilda,Roald Dahl,2,Kids,12/3/2021
10,Antigone,Sophocles,3,Drama,12/3/2021
11,Don’t Let the Pigeon Drive the Bus!,Mo Willems,3,Kids,12/3/2021
12,Fahrenheit 451,Ray Bradbury,2,Science Fiction,12/3/2021
13,The Polar Express,Chris Van Allsburg,1,Kids,12/3/2021
14,The Importance of Being Earnest,Oscar Wilde,1,Drama,12/3/2021
15,Solaris,Stanis?aw Lem,2,Science Fiction,12/3/2021
16,To Kill a Mockingbird,Harper Lee,3,Drama,12/3/2021
17,Neuromancer,William Gibson,2,Science Fiction,12/3/2021
18,Alice's Adventures in Wonderland,Lewis Carroll,1,Kids,12/3/2021
19,Frankenstein,Mary Shelley,3,Science Fiction,12/3/2021
20,A Christmas Carol,Charles Dickens,1,Drama,12/3/2021
